enroll,SAT,GPA,scholarship
0,1267,3.19,0.0
1,1086,2.89,0.0
1,1289,3.19,20500.0
1,1025,2.69,17400.0
0,1504,3.77,14700.0
1,1354,3.25,21500.0
0,1440,3.5,17500.0
0,1414,3.63,0.0
0,1336,3.22,6400.0
0,1426,3.47,7800.0
0,1243,3.23,0.0
0,1534,3.71,17200.0
1,1115,2.7,0.0
1,1225,2.96,15300.0
1,1191,2.93,10200.0
0,1414,3.37,9100.0
1,1320,3.41,22799.999999999996
1,1352,3.28,19500.0
1,1081,2.64,12200.0
1,1036,2.43,0.0
0,1342,3.17,0.0
0,1373,3.59,0.0
0,1389,3.63,0.0
0,1485,3.83,13700.000000000002
0,1538,3.69,7700.0
1,1082,2.9,6700.0
1,1225,3.03,0.0
1,1085,2.7,0.0
1,1027,2.59,0.0
0,1511,3.62,0.0
0,1365,3.3,8000.0
0,1320,3.41,5900.0
1,1048,2.8,11600.0
1,1078,2.61,21200.0
0,1466,3.78,10800.0
0,1438,3.57,7600.0
0,1336,3.21,0.0
0,1415,3.56,7600.0
0,1451,3.67,24000.0
1,1070,2.67,6500.0
1,1222,3.21,8700.0
0,1390,3.57,9700.0
0,1556,3.98,20099.999999999996
0,1273,3.24,0.0
0,1548,3.96,0.0
1,1053,2.79,0.0
1,1169,3.09,0.0
1,1289,3.26,12700.0
0,1513,3.63,10200.0
0,1514,3.74,8100.000000000001
0,1496,3.61,9000.0
1,1246,3.02,20800.0
1,1016,2.65,0.0
1,1099,2.81,0.0
0,1435,3.78,23200.0
1,1059,2.83,0.0
0,1466,3.69,6800.000000000001
0,1320,3.39,6800.000000000001
0,1336,3.44,0.0
1,1099,2.58,5200.0
0,1347,3.57,0.0
1,1039,2.67,0.0
0,1541,3.77,23700.0
1,1147,2.68,11399.999999999998
1,1175,2.82,0.0
1,1128,2.63,0.0
1,1280,3.39,16400.0
0,1225,3.23,0.0
1,1175,3.02,7900.0
0,1536,3.78,0.0
0,1410,3.38,6000.0
1,1191,2.9,19700.0
0,1334,3.21,0.0
1,1145,3.01,15200.0
0,1325,3.47,0.0
0,1299,3.33,0.0
1,1118,2.67,0.0
1,1037,2.5,0.0
0,1324,3.16,0.0
1,1183,3.12,5200.0
1,1307,3.38,24700.000000000004
0,1496,3.75,13100.0
1,1100,2.9,0.0
1,1078,2.68,0.0
0,1324,3.49,0.0
0,1476,3.62,7300.0
1,1103,2.66,0.0
1,1023,2.44,14700.0
0,1492,3.81,10500.0
1,1062,2.72,14500.0
0,1434,3.46,5699.999999999999
0,1566,3.75,12100.0
1,1090,2.53,13899.999999999998
1,1072,2.8,0.0
1,1107,2.67,0.0
1,1041,2.62,0.0
1,1319,3.23,16200.000000000002
0,1406,3.65,0.0
0,1350,3.53,11600.0
0,1304,3.4,0.0
0,1266,3.09,0.0
1,1198,3.14,0.0
1,1083,2.8,24600.0
0,1547,3.77,15100.0
1,1012,2.54,0.0
1,1232,2.9,9000.0
0,1272,3.12,0.0
1,1375,3.44,23000.0
0,1328,3.19,8700.0
0,1389,3.51,6300.0
0,1519,3.87,6400.0
0,1461,3.59,6200.0
0,1385,3.49,0.0
0,1217,3.15,0.0
0,1486,3.58,0.0
1,1056,2.48,9000.0
0,1450,3.43,19400.0
0,1541,3.92,11000.0
1,1025,2.66,12700.0
1,1031,2.68,14800.0
1,1120,2.75,18500.0
1,1244,3.27,11399.999999999998
0,1479,3.63,9200.0
0,1401,3.48,11000.0
1,1127,2.98,7700.0
0,1492,3.89,0.0
0,1249,3.01,0.0
1,1358,3.23,18500.0
1,1276,3.29,13000.0
1,1215,2.88,0.0
0,1455,3.74,19700.0
1,1112,2.6,19000.0
0,1440,3.57,0.0
1,1018,2.62,7500.0
1,1125,2.83,0.0
1,1315,3.42,14300.0
1,1070,2.8,24600.0
0,1505,3.94,25000.0
0,1364,3.41,14000.0
1,1103,2.9,9400.0
1,1225,2.87,9000.0
0,1392,3.59,5300.0
0,1296,3.31,7100.0
1,1014,2.68,12200.0
1,1056,2.47,0.0
0,1373,3.56,7300.0
0,1266,3.12,0.0
0,1572,3.98,5400.0
1,1029,2.59,12000.0
0,1410,3.6,12800.0
1,1222,3.0,7600.0
0,1465,3.84,11600.0
0,1510,3.89,13700.000000000002
0,1290,3.36,0.0
1,1091,2.69,0.0
1,1180,2.84,5100.0
0,1519,3.93,21400.0
1,1109,2.6,0.0
1,1138,2.69,0.0
1,1021,2.72,0.0
0,1483,3.78,17500.0
1,1141,2.89,5699.999999999999
1,1045,2.44,0.0
0,1510,3.78,24500.0
0,1343,3.29,0.0
0,1559,3.76,19400.0
1,1410,3.47,23200.0
0,1407,3.65,0.0
0,1465,3.68,7700.0
0,1577,3.75,0.0
0,1479,3.8,15700.0
0,1388,3.46,6600.0
0,1253,2.98,0.0
0,1392,3.65,0.0
0,1577,3.81,11600.0
0,1429,3.46,10200.0
1,1051,2.7,0.0
1,1231,2.88,23700.0
0,1537,4.0,0.0
0,1454,3.76,11000.0
0,1398,3.31,6200.0
1,1139,2.8,0.0
0,1494,3.65,0.0
1,1218,2.87,11900.0
0,1478,3.81,7700.0
1,1147,2.73,0.0
0,1343,3.26,6800.000000000001
0,1488,3.7,9300.0
0,1355,3.57,5300.0
1,1153,2.69,6000.0
1,1251,3.01,12200.0
0,1227,3.09,0.0
1,1204,2.87,0.0
1,1143,2.88,0.0
0,1549,3.97,22799.999999999996
0,1423,3.47,12900.0
0,1274,3.08,0.0
1,1124,2.75,0.0
0,1292,3.05,0.0
1,1021,2.71,0.0
1,1202,2.97,13500.0
0,1460,3.63,15000.0
1,1105,2.57,0.0
0,1519,3.97,9400.0
0,1524,3.74,21000.0
1,1332,3.25,13799.999999999998
1,1004,2.36,0.0
0,1332,3.2,0.0
0,1442,3.64,9100.0
1,1321,3.14,18400.0
1,1129,2.93,0.0
1,1062,2.67,18600.0
1,1007,2.53,0.0
1,1101,2.86,0.0
0,1394,3.57,0.0
0,1473,3.8,13300.0
1,1151,2.98,0.0
0,1518,3.9,22799.999999999996
0,1498,3.88,0.0
1,1351,3.49,17200.0
1,1399,3.64,24300.0
1,1411,3.58,24200.0
1,1130,2.71,0.0
0,1522,3.88,12300.0
1,1222,3.07,0.0
1,1283,3.21,12700.0
1,1089,2.8,0.0
0,1568,3.8,0.0
1,1185,3.06,0.0
1,1040,2.76,0.0
1,1113,2.7,0.0
0,1503,3.7,13700.000000000002
0,1381,3.54,11100.000000000002
1,1129,2.74,12900.0
1,1115,2.71,0.0
1,1299,3.08,13500.0
0,1528,3.83,23400.0
1,1119,2.83,7200.0
1,1378,3.29,15800.0
0,1561,3.77,16000.0
1,1059,2.68,0.0
1,1009,2.36,0.0
1,1000,2.42,0.0
0,1476,3.66,0.0
0,1483,3.67,5500.0
1,1162,2.9,0.0
1,1290,3.2,17300.0
0,1236,3.17,0.0
1,1096,2.8,0.0
0,1491,3.87,11399.999999999998
1,1110,2.93,0.0
0,1554,3.72,5400.0
0,1439,3.68,10900.0
1,1010,2.61,18700.0
0,1341,3.44,0.0
0,1357,3.41,0.0
1,1064,2.84,9400.0
1,1181,3.06,9600.0
0,1580,3.8,8100.000000000001
1,1200,2.83,0.0
1,1028,2.42,0.0
1,1271,3.26,12500.0
1,1192,2.8,0.0
1,1003,2.32,0.0
1,1196,2.99,9200.0
1,1249,2.96,9200.0
1,1219,2.92,5500.0
1,1136,2.93,12800.0
0,1517,3.87,13500.0
1,1236,3.1,10000.0
0,1433,3.77,20400.0
0,1562,4.02,23200.0
1,1186,3.06,0.0
1,1308,3.42,15900.0
1,1183,3.09,0.0
0,1268,3.06,0.0
1,1248,2.93,10300.0
1,1106,2.69,22300.0
1,1027,2.66,19000.0
0,1486,3.8,15700.0
1,1234,2.91,10400.0
1,1178,2.9,0.0
1,1253,3.3,11500.0
0,1305,3.42,11100.000000000002
0,1343,3.47,0.0
1,1061,2.69,0.0
0,1480,3.59,7200.0
1,1132,2.88,0.0
1,1168,2.85,5600.000000000001
1,1205,2.85,0.0
1,1152,2.85,0.0
1,1194,2.85,0.0
0,1490,3.84,0.0
0,1379,3.49,14800.0
1,1121,2.93,19100.0
0,1553,3.94,0.0
1,1000,2.49,0.0
1,1113,2.68,0.0
0,1265,3.31,0.0
0,1342,3.26,8500.0
1,1109,2.77,0.0
0,1571,3.78,5800.0
1,1042,2.68,10400.0
0,1315,3.26,6200.0
0,1558,3.74,7600.0
1,1116,2.81,5600.000000000001
1,1234,2.97,5300.0
1,1284,3.25,13400.0
1,1249,2.97,0.0
0,1284,3.06,0.0
0,1290,3.42,5100.0
1,1301,3.17,22500.0
0,1552,3.73,8800.0
0,1431,3.53,0.0
1,1018,2.74,0.0
0,1358,3.2,0.0
1,1058,2.62,24200.0
1,1126,2.78,22799.999999999996
1,1179,2.79,0.0
1,1228,3.01,8800.0
0,1468,3.48,17100.0
0,1315,3.27,0.0
1,1245,3.22,11600.0
0,1244,3.12,0.0
1,1422,3.43,19400.0
0,1472,3.48,0.0
1,1140,2.95,0.0
0,1503,3.92,10700.0
1,1161,3.02,0.0
0,1369,3.3,0.0
0,1402,3.39,0.0
0,1564,3.85,0.0
0,1539,3.83,0.0
1,1206,3.11,0.0
1,1020,2.71,0.0
1,1228,3.21,5699.999999999999
0,1417,3.42,14600.0
0,1397,3.52,0.0
0,1453,3.63,21800.0
0,1399,3.54,5000.0
1,1037,2.59,0.0
0,1323,3.21,5000.0
0,1556,3.72,18900.0
1,1226,2.99,23600.0
1,1027,2.73,0.0
0,1385,3.26,0.0
1,1161,2.99,15800.0
1,1025,2.61,0.0
0,1460,3.61,14000.0
0,1378,3.61,9700.0
0,1323,3.12,0.0
0,1430,3.65,0.0
0,1241,3.22,0.0
1,1247,3.07,8000.0
1,1017,2.59,0.0
0,1523,3.79,6400.0
0,1251,3.03,0.0
0,1454,3.65,7100.0
1,1239,2.95,6100.0
0,1462,3.72,22599.999999999996
0,1257,3.06,0.0
0,1235,3.03,0.0
1,1105,2.73,0.0
1,1011,2.39,0.0
0,1410,3.45,0.0
0,1494,3.72,15900.0
0,1561,3.95,19900.0
0,1491,3.81,12300.0
0,1422,3.75,5200.0
0,1422,3.54,8700.0
1,1350,3.39,17900.0
0,1518,3.91,9400.0
1,1283,3.04,11700.0
1,1316,3.3,11100.000000000002
0,1305,3.25,5100.0
1,1316,3.3,10600.0
0,1514,3.83,14200.0
1,1021,2.39,23700.0
1,1202,2.9,10700.0
1,1254,2.99,8500.0
1,1087,2.87,0.0
0,1225,3.13,0.0
0,1457,3.79,0.0
0,1274,3.26,0.0
1,1417,3.39,19200.0
1,1247,3.03,22300.0
0,1262,3.34,0.0
0,1553,4.01,0.0
1,1023,2.58,0.0
0,1379,3.5,12200.0
0,1445,3.73,5200.0
0,1559,3.75,20500.0
0,1340,3.3,9900.0
0,1322,3.25,0.0
0,1341,3.5,12500.0
1,1082,2.64,0.0
1,1055,2.71,0.0
0,1422,3.49,6600.0
1,1109,2.78,0.0
1,1169,3.06,19300.0
1,1127,2.76,0.0
1,1176,2.94,0.0
1,1042,2.68,12400.0
1,1204,2.94,8700.0
1,1119,2.62,11100.000000000002
1,1195,3.15,0.0
0,1298,3.28,0.0
1,1018,2.37,8300.0
0,1289,3.07,0.0
0,1307,3.07,0.0
0,1475,3.88,8100.000000000001
0,1325,3.22,0.0
0,1276,3.33,0.0
1,1093,2.78,0.0
1,1191,3.16,0.0
1,1210,2.95,0.0
1,1213,2.96,0.0
0,1545,3.72,20099.999999999996
1,1276,3.3,11700.0
0,1358,3.51,14200.0
1,1162,2.82,0.0
1,1209,3.07,0.0
1,1164,2.99,24500.0
0,1542,3.71,15900.0
1,1346,3.34,21100.0
1,1248,3.22,5200.0
1,1266,2.98,7800.0
0,1257,3.01,0.0
0,1528,3.91,6200.0
1,1225,3.05,0.0
0,1265,3.02,0.0
0,1419,3.39,0.0
1,1036,2.45,0.0
1,1192,3.0,0.0
1,1342,3.51,16500.0
0,1264,3.22,5100.0
1,1193,3.15,0.0
0,1565,4.0,13100.0
0,1497,3.69,20700.0
0,1428,3.57,8700.0
0,1298,3.13,0.0
0,1232,3.2,0.0
1,1142,2.94,0.0
0,1429,3.71,10000.0
0,1248,3.07,0.0
1,1157,3.06,0.0
1,1284,3.03,8600.0
0,1471,3.73,21500.0
1,1089,2.71,14400.0
1,1057,2.83,0.0
1,1045,2.79,8200.0
1,1081,2.9,0.0
1,1098,2.69,0.0
0,1455,3.47,0.0
1,1373,3.43,19800.0
1,1252,2.96,0.0
0,1447,3.8,19000.0
0,1213,3.22,0.0
1,1295,3.21,14100.0
0,1543,4.01,0.0
1,1084,2.77,7200.0
0,1425,3.56,5000.0
0,1569,4.04,17300.0
0,1372,3.55,6700.0
0,1511,3.93,11000.0
1,1193,3.11,0.0
0,1248,3.02,0.0
0,1569,3.78,8300.0
1,1065,2.85,11100.000000000002
0,1279,3.39,0.0
1,1350,3.51,16100.000000000002
0,1544,3.74,6000.0
1,1077,2.83,0.0
1,1094,2.55,0.0
0,1552,3.85,15100.0
0,1458,3.71,24600.0
1,1101,2.7,0.0
1,1038,2.41,0.0
0,1466,3.68,14600.0
0,1458,3.64,12300.0
0,1219,3.17,0.0
1,1081,2.8,9000.0
1,1237,3.11,21400.0
0,1313,3.15,0.0
0,1327,3.39,9500.0
1,1003,2.61,0.0
0,1263,3.06,0.0
0,1315,3.12,0.0
1,1075,2.85,5100.0
1,1051,2.57,8000.0
0,1365,3.26,11399.999999999998
0,1448,3.47,15100.0
1,1286,3.38,23300.0
1,1201,2.95,5699.999999999999
1,1092,2.78,14000.0
1,1305,3.33,11000.0
1,1000,2.32,0.0
1,1104,2.85,0.0
1,1094,2.77,0.0
0,1559,3.81,11299.999999999998
1,1161,2.86,0.0
1,1054,2.78,24100.0
1,1019,2.5,15400.0
0,1487,3.55,17800.0
1,1224,2.88,18800.0
1,1142,2.84,0.0
0,1227,3.07,0.0
1,1170,3.1,0.0
0,1513,3.78,19800.0
1,1113,2.9,21100.0
1,1350,3.26,24800.0
1,1019,2.71,11700.0
0,1544,4.02,24500.0
0,1384,3.47,5699.999999999999
0,1424,3.59,7400.0
0,1439,3.56,5699.999999999999
0,1524,3.74,24100.0
1,1002,2.52,0.0
1,1184,2.89,0.0
1,1062,2.59,0.0
0,1292,3.16,0.0
0,1451,3.64,0.0
0,1307,3.1,0.0
1,1069,2.85,0.0
0,1454,3.79,0.0
1,1236,3.13,16900.0
0,1264,3.34,0.0
0,1284,3.21,0.0
0,1523,3.98,12300.0
1,1275,3.28,18100.0
1,1167,2.75,9700.0
1,1148,2.84,0.0
1,1049,2.55,11700.0
0,1475,3.59,15200.0
1,1218,3.04,0.0
1,1003,2.44,0.0
1,1000,2.61,24000.0
0,1393,3.31,0.0
0,1544,3.93,22700.0
1,1163,2.92,7200.0
1,1141,2.68,0.0
0,1250,3.21,0.0
0,1255,3.01,0.0
0,1546,3.95,9200.0
1,1106,2.82,10100.0
0,1323,3.47,0.0
1,1135,2.7,0.0
1,1090,2.89,24100.0
0,1345,3.24,0.0
1,1028,2.71,11299.999999999998
0,1442,3.65,0.0
1,1089,2.56,0.0
1,1315,3.23,13000.0
0,1558,3.8,13400.0
1,1251,2.94,0.0
1,1224,2.91,0.0
0,1546,3.96,0.0
1,1113,2.67,6600.0
0,1548,4.06,6100.0
0,1569,4.0,5200.0
0,1570,3.79,0.0
0,1516,3.73,13300.0
1,1080,2.65,0.0
1,1053,2.7,0.0
1,1037,2.7,0.0
1,1056,2.47,0.0
1,1108,2.78,9600.0
0,1557,3.87,7200.0
1,1158,3.0,0.0
0,1554,3.96,12700.0
0,1521,3.72,24400.0
0,1555,4.04,0.0
0,1566,4.07,24300.0
0,1464,3.48,0.0
1,1027,2.44,13799.999999999998
0,1525,3.7,0.0
0,1372,3.54,11200.000000000002
0,1578,3.97,19400.0
1,1044,2.73,8200.0
1,1006,2.47,0.0
1,1156,2.71,0.0
1,1090,2.79,0.0
0,1264,3.03,0.0
0,1553,3.76,0.0
1,1229,3.18,6100.0
0,1501,3.62,19100.0
1,1021,2.38,0.0
1,1087,2.83,0.0
0,1534,3.86,22000.0
1,1315,3.11,10100.0
0,1572,4.07,14500.0
1,1102,2.93,0.0
0,1413,3.67,0.0
1,1162,3.03,12600.0
0,1417,3.69,0.0
0,1323,3.17,7000.0
1,1225,3.24,8400.0
0,1464,3.77,21600.0
0,1536,3.79,18900.0
1,1008,2.62,0.0
0,1272,3.17,0.0
1,1044,2.68,0.0
1,1302,3.37,20600.0
1,1349,3.18,24000.0
0,1493,3.63,0.0
1,1262,3.33,13799.999999999998
1,1197,2.89,0.0
0,1464,3.81,24000.0
1,1294,3.29,9300.0
0,1419,3.71,0.0
1,1055,2.83,0.0
0,1531,3.92,22200.000000000004
0,1347,3.29,0.0
0,1450,3.68,23100.0
0,1338,3.4,0.0
1,1060,2.52,21500.0
0,1521,3.68,12600.0
0,1492,3.55,13700.000000000002
0,1368,3.31,0.0
1,1049,2.57,0.0
1,1384,3.4,21100.0
0,1516,3.63,12700.0
1,1081,2.63,0.0
1,1047,2.79,13500.0
0,1495,3.92,22900.0
0,1248,3.16,0.0
1,1104,2.79,9000.0
0,1345,3.27,0.0
0,1298,3.22,0.0
0,1419,3.5,5900.0
1,1157,2.88,0.0
0,1345,3.31,0.0
1,1053,2.71,21400.0
0,1297,3.23,0.0
0,1427,3.39,6400.0
0,1359,3.21,0.0
0,1488,3.67,13500.0
0,1556,3.76,12200.0
0,1404,3.63,20200.0
1,1398,3.56,22200.000000000004
1,1235,3.28,13400.0
0,1307,3.08,0.0
1,1228,3.13,13500.0
0,1547,3.7,0.0
0,1421,3.7,8800.0
0,1395,3.38,7500.0
0,1554,3.9,12500.0
0,1348,3.48,11500.0
1,1036,2.68,0.0
1,1308,3.44,12400.0
0,1521,3.79,22100.0
1,1326,3.35,13000.0
0,1260,3.18,0.0
1,1162,2.78,0.0
0,1445,3.61,0.0
1,1123,2.89,0.0
0,1523,3.71,18200.0
0,1357,3.44,11700.0
0,1538,3.77,11200.000000000002
1,1168,2.78,11100.000000000002
1,1325,3.24,14900.0
1,1290,3.3,9300.0
0,1332,3.23,0.0
0,1286,3.32,0.0
1,1285,3.02,11200.000000000002
0,1465,3.7,0.0
0,1532,4.02,6899.999999999999
1,1054,2.67,0.0
0,1571,3.77,0.0
0,1513,3.79,8000.0
1,1272,3.01,12100.0
0,1413,3.52,8300.0
1,1345,3.46,19400.0
1,1366,3.26,12800.0
0,1483,3.69,6400.0
1,1297,3.12,13400.0
1,1007,2.49,6300.0
0,1533,3.8,17000.0
0,1304,3.28,0.0
1,1220,2.94,21600.0
0,1496,3.58,0.0
0,1349,3.53,6500.0
0,1240,3.24,0.0
1,1230,3.03,0.0
1,1072,2.79,0.0
0,1537,4.02,11900.0
1,1153,3.06,0.0
0,1332,3.16,0.0
1,1140,2.94,11500.0
0,1552,3.75,12200.0
0,1347,3.49,0.0
0,1546,4.0,15300.0
0,1396,3.49,16700.0
1,1164,2.81,0.0
1,1274,3.26,9200.0
0,1353,3.3,0.0
1,1212,3.05,0.0
1,1011,2.55,17400.0
0,1466,3.72,7700.0
0,1545,3.88,12200.0
0,1465,3.76,21700.0
1,1120,2.88,0.0
1,1184,3.05,23400.0
1,1132,2.82,0.0
1,1337,3.47,22900.0
0,1493,3.93,0.0
1,1183,2.9,9600.0
0,1567,3.95,0.0
1,1019,2.5,6600.0
0,1507,3.72,11500.0
1,1199,3.05,5800.0
0,1305,3.11,0.0
0,1557,4.03,13899.999999999998
0,1397,3.6,12500.0
0,1564,3.89,5900.0
1,1170,2.93,0.0
1,1117,2.76,0.0
1,1083,2.55,0.0
0,1261,2.99,0.0
1,1103,2.68,7000.0
0,1575,4.1,6800.000000000001
1,1042,2.78,0.0
1,1127,2.77,0.0
0,1277,3.23,0.0
0,1275,3.03,0.0
0,1423,3.53,16200.000000000002
0,1525,3.98,0.0
1,1130,2.91,0.0
0,1398,3.4,12000.0
1,1067,2.77,0.0
1,1014,2.68,8700.0
1,1016,2.7,0.0
0,1463,3.47,14200.0
1,1312,3.26,10800.0
0,1491,3.53,0.0
1,1151,2.89,0.0
0,1270,3.1,0.0
0,1324,3.4,9500.0
0,1439,3.74,5800.0
0,1222,3.21,0.0
1,1283,3.2,13500.0
1,1341,3.44,18300.0
0,1575,3.81,20700.0
0,1488,3.79,13300.0
1,1033,2.57,0.0
0,1279,3.06,0.0
1,1018,2.72,14100.0
1,1088,2.72,0.0
1,1208,2.85,0.0
0,1245,3.21,0.0
1,1235,3.23,11900.0
0,1389,3.51,12700.0
1,1381,3.63,24700.000000000004
0,1282,3.1,0.0
1,1077,2.86,0.0
1,1195,2.81,0.0
1,1021,2.55,0.0
1,1129,2.7,0.0
0,1341,3.37,0.0
0,1332,3.19,0.0
1,1120,2.66,0.0
0,1411,3.7,0.0
1,1097,2.76,10200.0
1,1186,2.82,0.0
0,1402,3.51,0.0
1,1138,2.84,0.0
0,1540,3.86,13200.0
1,1176,2.87,24000.0
1,1124,2.98,7700.0
0,1435,3.42,13000.0
1,1016,2.54,8100.000000000001
1,1028,2.71,8400.0
1,1355,3.33,18400.0
0,1269,3.15,0.0
1,1101,2.59,0.0
1,1141,3.04,18200.0
0,1416,3.65,12100.0
1,1216,3.09,6899.999999999999
0,1574,4.02,13500.0
1,1009,2.55,0.0
1,1075,2.87,0.0
1,1231,3.2,9800.0
1,1068,2.77,16600.0
0,1359,3.32,9300.0
1,1107,2.93,0.0
0,1256,3.04,0.0
1,1198,3.04,0.0
0,1344,3.55,10600.0
0,1515,3.94,23600.0
0,1270,3.03,0.0
1,1012,2.47,0.0
1,1085,2.9,19000.0
0,1414,3.59,0.0
1,1014,2.57,0.0
0,1514,3.65,8000.0
1,1298,3.43,23600.0
1,1025,2.63,0.0
0,1398,3.39,6300.0
0,1323,3.43,11600.0
0,1453,3.51,21700.0
1,1410,3.52,21200.0
1,1187,3.12,0.0
0,1455,3.46,10500.0
0,1239,3.06,0.0
0,1512,3.6,6800.000000000001
1,1031,2.62,20800.0
1,1020,2.63,19600.0
1,1120,2.9,5300.0
1,1368,3.38,23200.0
1,1153,2.76,0.0
1,1188,2.83,0.0
0,1377,3.58,12700.0
0,1415,3.72,9900.0
1,1117,2.67,0.0
0,1350,3.37,0.0
0,1418,3.42,0.0
0,1268,2.97,0.0
0,1370,3.41,9800.0
1,1222,3.05,6899.999999999999
1,1164,2.8,0.0
1,1203,3.03,0.0
0,1434,3.61,6300.0
0,1539,3.82,6100.0
1,1407,3.41,23300.0
1,1381,3.36,19800.0
1,1059,2.75,0.0
1,1085,2.77,0.0
0,1228,3.07,0.0
1,1309,3.38,23400.0
1,1153,2.88,11700.0
0,1548,3.96,10400.0
0,1414,3.51,7900.0
0,1340,3.45,6700.0
1,1437,3.53,24000.0
1,1071,2.78,0.0
0,1472,3.56,23400.0
1,1208,3.08,0.0
0,1247,3.27,0.0
0,1386,3.4,13000.0
1,1049,2.62,0.0
1,1077,2.57,0.0
0,1415,3.54,17500.0
1,1102,2.85,0.0
0,1377,3.24,6600.0
1,1000,2.4,0.0
1,1208,3.06,0.0
1,1138,3.01,18100.0
0,1267,3.32,0.0
1,1197,3.05,0.0
1,1066,2.58,9900.0
1,1196,3.02,24000.0
0,1479,3.68,23200.0
0,1266,3.12,0.0
0,1461,3.71,19000.0
1,1192,3.01,0.0
0,1536,3.74,0.0
0,1292,3.24,0.0
1,1098,2.67,24100.0
1,1361,3.59,21900.0
1,1068,2.61,0.0
1,1239,3.21,17600.0
0,1302,3.32,0.0
1,1101,2.86,0.0
1,1244,3.05,21100.0
1,1091,2.64,0.0
1,1192,3.08,0.0
1,1352,3.42,18600.0
1,1365,3.28,15900.0
0,1213,3.22,0.0
0,1523,3.96,24500.0
0,1322,3.45,0.0
1,1076,2.89,0.0
1,1244,3.17,20500.0
0,1357,3.51,11900.0
1,1038,2.51,8500.0
0,1495,3.82,10100.0
1,1136,2.81,9100.0
0,1361,3.54,0.0
0,1234,3.08,0.0
1,1083,2.84,0.0
1,1031,2.72,0.0
0,1504,3.77,18500.0
1,1082,2.76,0.0
0,1492,3.72,17800.0
1,1195,3.0,9300.0
0,1422,3.59,21600.0
0,1334,3.2,0.0
1,1347,3.5,20800.0
0,1308,3.42,0.0
0,1399,3.53,18500.0
1,1074,2.65,11299.999999999998
1,1064,2.54,0.0
0,1509,3.7,15800.0
1,1039,2.77,0.0
1,1273,3.27,10500.0
0,1577,4.08,0.0
0,1394,3.53,18400.0
0,1385,3.63,13300.0
0,1386,3.4,0.0
1,1227,2.98,0.0
0,1515,3.98,17000.0
1,1191,2.86,0.0
1,1135,2.79,0.0
1,1170,3.01,0.0
0,1512,3.62,25000.0
1,1185,2.9,0.0
1,1088,2.87,0.0
0,1486,3.59,5300.0
1,1340,3.47,18500.0
0,1529,3.79,17200.0
1,1328,3.19,22900.0
1,1088,2.83,7500.0
0,1420,3.58,0.0
1,1086,2.67,14400.0
0,1293,3.19,0.0
0,1334,3.39,0.0
1,1375,3.25,19200.0
1,1334,3.26,11600.0
0,1340,3.24,7400.0
1,1018,2.52,0.0
